operands_A,operands_B,sel,switching_power
3755633980,2522794362,1,0.0259822
176164241,3453898779,1,0.0179611
3504673953,1306242668,1,0.0214815
3082847571,3267222679,1,0.0227337
3526552207,512862607,1,0.0224618
2516824610,3158099916,0,0.0173923
3520682898,1553171247,1,0.0224618
1426247447,3031289527,0,0.0201641
4183245641,2402691425,0,0.0180188
8668654,2421993361,1,0.0181973
2413774285,2655489930,0,0.0207906
2897972289,2183521059,1,0.0196856
3061171370,2703577692,1,0.0209378
4104000611,3658135281,1,0.0223438
2269160573,3747599510,1,0.0231236
884032305,1201495597,0,0.0178959
858234047,2468267881,0,0.020287
569671822,745432954,0,0.0173923
545053820,1219962227,0,0.0181457
965354982,743166910,1,0.0222257
1826413848,419189790,0,0.0180188
7358222,948917738,1,0.0185872
2457025340,1018563056,0,0.0180188
4079802858,1846024269,1,0.021682
3438891703,1063538331,1,0.0247301
3772232993,1605015607,0,0.0194067
3630595764,1940447283,0,0.0185224
957502863,2171460094,1,0.0227337
1309584643,3965190525,0,0.016508
1479657326,3870966599,0,0.0187762
3125539817,1525938499,0,0.0220516
2127835233,1238923356,0,0.0170116
2377232888,1613976542,0,0.0186493
750824964,1878298904,1,0.0187053
1948731004,3467070647,0,0.0200372
810557385,1171797085,1,0.0194494
3321528795,3890713016,1,0.024612
1084958414,70064971,1,0.0190595
1250240418,3470591744,1,0.0189414
3291037186,3536965951,0,0.0173923
1512871597,3533003811,0,0.0175152
1066119821,3055780238,0,0.0178919
2407666446,578691732,1,0.0184334
2530279314,2007569795,1,0.0230879
634248734,806469225,1,0.0220719
895655974,3101066835,0,0.0161313
2108516673,3669174112,1,0.0224618
2317998072,4144525863,0,0.0186493
2618243260,3532646775,0,0.0206677
888378301,1420478120,1,0.022698
100080591,2509418511,0,0.0183955
2701441440,413773448,0,0.0137362
883870066,590727469,0,0.0175152
2921027033,307228246,0,0.0197834
208969886,1992465668,0,0.0153739
1136236043,1147562655,0,0.0176421
275770917,185121164,1,0.0198037
3363399607,1465952875,0,0.0196565
911665190,1277161158,1,0.0222257
4100891424,1718805614,0,0.0182726
2670805540,2713783543,0,0.0160044
605777216,1541431325,0,0.0148703
3416841105,3170925439,0,0.0205408
3042409210,2729507008,0,0.0187721
3188108297,1721685446,1,0.0215996
626025539,2310148520,0,0.0131057
2304801175,4229164120,1,0.0217177
2960734545,770005568,1,0.0201936
4258602871,1461079610,1,0.0262184
3015399487,1788162236,1,0.0238321
2745380647,3632434729,1,0.0209378
3933788913,1771868909,0,0.020287
2183775318,4038730899,0,0.0155008
2610596091,1568834008,0,0.0172614
3967785029,393444604,0,0.0216749
4117293644,2201562387,1,0.0214458
4154650180,903405956,1,0.0220719
3015031494,3403170383,1,0.023206
3872146859,3130717235,0,0.0199103
3008541030,3158646294,0,0.0175152
3789290023,785315944,0,0.0207906
2016923093,3421256996,1,0.024222
2944152993,4015840138,1,0.02512
756080219,2565827173,1,0.0228518
620754096,515301122,0,0.0197834
2812080317,2507135848,1,0.0252381
3277210558,239272475,1,0.0199218
3547037204,1087398145,1,0.0190239
3097225659,1450443353,0,0.0182685
412784238,1235019274,0,0.0163811
2637104225,3737462246,1,0.0215996
1832829340,2175811205,0,0.0167578
3293567353,3124607384,1,0.024104
2389878649,1402221258,0,0.0178919
1374382675,3500573925,0,0.0173883
2375159390,3311312034,0,0.0176421
2657612068,1333638209,0,0.0192798
58663915,191409674,0,0.0172614
255034682,2919574341,0,0.0163811
2198253622,243088674,1,0.0193314
3270276851,3686896771,0,0.019026
1890262585,3989375113,0,0.0168847
3274961341,1326400401,0,0.019026
1700722139,1841661305,0,0.0212942
2960797528,1311553269,0,0.0194067
2224925285,767826941,1,0.0222257
1671961649,1601746084,0,0.0172654
725862029,366953118,0,0.0182726
2868351011,2426087172,0,0.0156236
2378286488,245324796,0,0.0196605
3017552756,767775060,1,0.0220719
2232682514,1464966474,0,0.0141169
3138045776,3710009823,0,0.0182726
269487824,560352749,0,0.0141169
777773573,3944938021,1,0.0217177
1873018393,1234624460,0,0.0214211
867652857,2988028900,1,0.023714
567642878,2579000815,1,0.0244939
2653257130,2526535876,0,0.0185224
2865368605,1923281345,1,0.0207016
1737481513,3675560322,1,0.022698
3527511072,3148973948,0,0.0170156
1708396675,567848992,0,0.0123482
3905927888,611041319,0,0.0172614
1653246625,1386734786,1,0.0188233
1532472135,1025531875,0,0.020287
3435143965,2998940911,1,0.0199575
2658910013,1315579461,0,0.0204098
3273601761,3280637531,1,0.0218357
2564057839,2597779059,1,0.02512
95656816,3041085330,1,0.0207016
3178935810,1558721404,1,0.0229699
1963735994,1864701578,1,0.0219538
3728471404,2841383990,1,0.0239502
416423528,1653045133,0,0.0172654
3435387739,2788207119,1,0.022698
3831203197,1445471087,0,0.0185224
2061830219,1790510996,1,0.0207016
