operands_A,operands_B,opcode,switching_power
2078518496,1732541383,ALU_SLTU,0.354951
2117028514,3339785696,ALU_COPY_B,0.191479
2103170926,1135486084,ALU_SLT,0.249538
2290980397,2782672950,ALU_AND,0.253334
2076138544,181504304,ALU_SLL,0.245034
2484965048,2131790176,ALU_SLTU,0.16864400000000002
1559411971,2718911159,ALU_SLL,0.34238
4044324252,169721568,ALU_SLTU,0.201078
1220330623,3128875082,ALU_SRL,0.287544
4151740765,2104731938,ALU_COPY_B,0.26960300000000004
3369522875,2577705623,ALU_XXX,0.37356100000000003
167120969,1005525741,ALU_SLT,0.288454
1988444371,3575647546,ALU_XOR,0.248096
3448683978,761480958,ALU_SLL,0.341185
259648428,1971049706,ALU_SRL,0.316242
3493795166,938054025,ALU_XOR,0.26941
3974920834,2002962429,ALU_COPY_B,0.32259699999999997
1484017260,2277950339,ALU_AND,0.268095
997942153,4232363909,ALU_XXX,0.312015
4134270091,1383673592,ALU_AND,0.25086
3511556718,414500325,ALU_SLTU,0.270617
2153491890,3430165425,ALU_COPY_B,0.264542
1693330547,3129550390,ALU_COPY_B,0.299676
187677502,2259319471,ALU_ADD,0.364923
1316465450,2724093930,ALU_SRL,0.298468
1632208938,718632318,ALU_ADD,0.25102
592680084,4006210621,ALU_ADD,0.29786799999999997
3435588216,1317452306,ALU_ADD,0.253286
996299936,593023903,ALU_OR,0.352626
2723284765,1717746681,ALU_ADD,0.254068
3483203291,1366407329,ALU_COPY_B,0.28039899999999995
3084420063,4159296359,ALU_XXX,0.386396
2611471237,2243769525,ALU_SLTU,0.303363
1547663803,3190068967,ALU_AND,0.354358
1490181167,1438222139,ALU_ADD,0.320519
3485272843,1037846749,ALU_SRA,0.325277
3290267304,3314831082,ALU_OR,0.262533
2673463298,1966152279,ALU_XXX,0.312085
2661816671,1036026409,ALU_SLTU,0.279773
2063511481,4170321606,ALU_XXX,0.32682
1491031952,329846418,ALU_SLTU,0.272072
1702981702,2704083050,ALU_SRA,0.219913
556647704,2530814884,ALU_SRA,0.188343
175297498,1455145195,ALU_SRA,0.331163
231026034,1881207422,ALU_ADD,0.286225
3400593334,85152029,ALU_SUB,0.320169
4066913355,1440930844,ALU_AND,0.243115
2489567825,369111370,ALU_SLT,0.216634
313119102,217128896,ALU_SLTU,0.182022
661831298,42167810,ALU_XXX,0.249447
2658784450,270938615,ALU_SLL,0.343856
420324613,1767167695,ALU_SLT,0.30957
1083682015,1593358520,ALU_SRA,0.231764
774940483,2426474708,ALU_XOR,0.214775
3769636344,441358742,ALU_XXX,0.279566
2356131190,2850805198,ALU_XXX,0.344596
3299480699,2235122926,ALU_XOR,0.281513
3414070753,815684014,ALU_SUB,0.313491
2362955798,4288234112,ALU_SLT,0.179155
3973125670,385031828,ALU_SRL,0.241679
1093038100,113238033,ALU_XOR,0.209463
805240594,1266946948,ALU_XOR,0.25616500000000003
2458267522,1785756551,ALU_SLL,0.309873
1901234638,2399716541,ALU_SLT,0.30430100000000004
3943284847,2850484289,ALU_SRA,0.211657
1217552856,3328726187,ALU_XOR,0.286668
1029815496,3243946014,ALU_SLT,0.303123
3922627914,3364523923,ALU_ADD,0.31156100000000003
3550859458,1354920144,ALU_XXX,0.20492
720196657,2122809245,ALU_SLL,0.33823600000000004
3135208604,3786848722,ALU_SRL,0.305173
311981426,2466900782,ALU_SRA,0.281763
1643577173,3294455124,ALU_SLT,0.281206
3720484307,2295104893,ALU_XOR,0.317046
853883817,1443838137,ALU_SUB,0.306349
160171349,1922899440,ALU_XXX,0.199946
4002806306,1316312806,ALU_XXX,0.29775100000000004
35435380,2349275406,ALU_SRL,0.252861
2433541182,3791634296,ALU_SRL,0.226528
2691012409,263563157,ALU_COPY_B,0.286353
1003516366,4083382970,ALU_ADD,0.298852
858258350,4180511158,ALU_XOR,0.322909
3133820745,794010791,ALU_AND,0.328399
1970401029,4257852450,ALU_SRL,0.255706
1002284183,2595423693,ALU_SRA,0.32868600000000003
1118589441,1017682032,ALU_SRL,0.16417
2605897650,3506203170,ALU_SRL,0.250102
3831444074,1551561829,ALU_SLL,0.298527
2294304098,4142693887,ALU_AND,0.31850700000000004
842947989,2970789672,ALU_AND,0.21837
3456689987,3243068178,ALU_AND,0.229539
915695843,3986719081,ALU_SLL,0.288878
518547831,1545994066,ALU_SUB,0.276469
1784739221,1143452237,ALU_XXX,0.315105
4102394326,1694891370,ALU_ADD,0.257875
1082957108,1569097514,ALU_AND,0.23286
2449263644,1936632820,ALU_XOR,0.255313
3272577849,2252653157,ALU_ADD,0.2349
1804549559,2547393533,ALU_ADD,0.348465
2015191486,1600489280,ALU_SLT,0.179516
1227280502,1560197729,ALU_SUB,0.23629
2201130145,586367511,ALU_ADD,0.291656
2193515256,3693474195,ALU_SUB,0.304568
772915581,3821767974,ALU_SRA,0.250898
3737832680,506176733,ALU_ADD,0.326714
3170495440,3843235141,ALU_XXX,0.32305300000000003
3809940599,1422510051,ALU_OR,0.29946100000000003
1185976601,4182365253,ALU_SLL,0.253483
2921021701,992253834,ALU_SLT,0.228548
169691771,383119052,ALU_SRA,0.243377
1635281109,2017223768,ALU_SLL,0.23995100000000005
3432417593,3438720496,ALU_ADD,0.193995
3077927514,983830125,ALU_XOR,0.320869
1612049947,900605086,ALU_SUB,0.269044
1251901392,85583931,ALU_XXX,0.357593
1714416722,1567093044,ALU_OR,0.271499
3257954247,3067571991,ALU_XOR,0.333248
2413080572,3960542827,ALU_SUB,0.34953
2516906803,495631442,ALU_SUB,0.235973
740720562,3687098840,ALU_ADD,0.241526
1992729980,150524654,ALU_OR,0.318837
2140816891,1698764822,ALU_XOR,0.307019
2707291009,2132311506,ALU_SLL,0.274914
3138075649,652254240,ALU_COPY_B,0.155421
3030908100,2786215142,ALU_COPY_B,0.27434200000000003
2590849038,2309649878,ALU_XXX,0.28767800000000004
415068446,2163366668,ALU_XOR,0.23671999999999999
2273912865,1979833797,ALU_OR,0.235817
3082161926,3319730706,ALU_SRA,0.266382
914811101,3117521967,ALU_SUB,0.356196
1099904264,2648672334,ALU_OR,0.27011199999999996
4229455867,2267802142,ALU_SRL,0.32811
3374375762,3553740307,ALU_COPY_B,0.28630500000000003
788668740,1402818629,ALU_AND,0.215565
3074776143,358788232,ALU_SRA,0.21519000000000002
2783834786,1692791553,ALU_ADD,0.257932
277889457,4095491986,ALU_XOR,0.206209
2328932098,3328361708,ALU_COPY_B,0.224271
3369218035,487786681,ALU_XXX,0.309557
3037848704,2455797130,ALU_SLL,0.236062
3072148450,848862616,ALU_SLT,0.23173000000000002
3888571343,2260162001,ALU_SRA,0.285989
1033825088,575866257,ALU_SRA,0.257616
2668084793,3091539823,ALU_SLTU,0.349652
2186859376,198662611,ALU_SRA,0.29002100000000003
520121872,1840740056,ALU_XXX,0.232914
3421692435,1012771719,ALU_SRL,0.327004
2586952285,1433564001,ALU_XOR,0.225674
3129671985,3185209838,ALU_SRL,0.272507
