input,switching_power
3693796466,0.0223297
3714108158,0.0142544
1869105359,0.0159462
757120129,0.015711000000000003
322414168,0.013181100000000001
3637146096,0.0186956
2157755052,0.0187278
1269388687,0.0188817
1804378297,0.017021599999999998
2642240544,0.015259
463331256,0.0168821
2189470367,0.0179242
2904509450,0.0125921
2647416327,0.0207323
2474767278,0.021239400000000002
1512677813,0.0197044
2133858769,0.019037400000000003
4127068895,0.015950299999999997
2912393065,0.0165592
4067281108,0.0146127
1661218142,0.0140653
3587478110,0.0179219
4053090780,0.0127112
3934722051,0.0170309
3142459868,0.016812900000000002
214942203,0.014521
1371933209,0.0196017
2744492506,0.0195424
2673598484,0.020063
2042915009,0.013454399999999998
1528963855,0.0179661
3498124803,0.016815200000000002
2307743540,0.0178702
3629340326,0.0181253
113328678,0.014240000000000001
295350800,0.0129218
2347477436,0.0225239
4224609171,0.0140047
1773426350,0.0189411
478785939,0.0190685
190958509,0.0147786
664483653,0.0174291
2709863965,0.0187134
2407308205,0.0149784
3821181528,0.014465
2765336927,0.0232077
1572550210,0.015250299999999996
2775451767,0.0234829
2428610448,0.0134428
899627227,0.0188031
2476472321,0.0199087
1647141736,0.018955
1496609389,0.017494700000000002
2993332496,0.0196926
3964669519,0.021240799999999997
863249654,0.0165088
2286347650,0.0173102
1962906106,0.0158871
3915731774,0.0209713
1952316359,0.0185303
2156349485,0.01873
2146440052,0.0123365
4001288094,0.0094494
692498935,0.0170095
3296331546,0.019887900000000003
2598664393,0.0196113
769742096,0.0176178
1467494754,0.0203827
3132365509,0.0199646
1285198657,0.0176185
2890725558,0.0169849
1314191942,0.0153146
1949450963,0.0170331
4274966297,0.0210729
2120597080,0.0126708
1738180357,0.017201599999999997
3097410427,0.016721200000000002
2065240024,0.0118039
2273735163,0.0212199
3241042934,0.0148063
3781895540,0.017450200000000003
60927290,0.0114466
28893882,0.012512899999999999
2549084467,0.017037200000000002
2765306144,0.0178697
4231691478,0.0163955
893342541,0.0159419
786488118,0.0148567
2895739653,0.0212009
212766859,0.016490900000000003
930251233,0.0141683
1328206426,0.0149803
3695406639,0.018849900000000003
1314130085,0.0127731
400714151,0.010660600000000001
287092567,0.016489
3731048331,0.0165935
3651797359,0.0227528
2606833417,0.018212700000000002
2841658099,0.0148637
3462401199,0.014907299999999997
2283490720,0.0148841
1868873777,0.0209407
3584566687,0.0215191
1148322180,0.012458499999999999
806966419,0.0153655
447248725,0.018123900000000002
3143993191,0.0175571
1727120995,0.0172959
837894446,0.017481200000000002
1355492360,0.0169388
2921095683,0.0164802
924994697,0.0183838
2458695633,0.0196089
4063480931,0.013663
2132524999,0.0175268
43622944,0.014197
4290742575,0.0177488
4264280483,0.015164600000000004
1211744999,0.017027200000000003
3945359167,0.0212222
446636265,0.0175234
2864753397,0.021766900000000002
529424625,0.0166798
3903290384,0.015699200000000003
1043091280,0.0106286
988362881,0.014484
2213586290,0.0147717
3781392008,0.0165523
4276494975,0.0203483
2930094101,0.013019399999999999
1302238721,0.0154057
2714665447,0.0207299
1500577535,0.0180431
1581764686,0.0188417
3882540071,0.012551799999999998
1358337048,0.0175492
3686189844,0.0171778
4034379181,0.0168788
4105117254,0.0147307
3079912117,0.0181042
1157048333,0.0165912
2252618648,0.016180899999999998
2689828349,0.0173122
2594289597,0.0197577
2075397007,0.0193808
694137626,0.018599
3181828975,0.0157083
2740391472,0.0164136
2135894205,0.017524500000000002
1383544964,0.018097400000000003
1444819241,0.0145174
657671598,0.019378
3839982067,0.017795500000000002
3531223073,0.0167525
1756636145,0.0204558
4013732280,0.01464
1827074378,0.017021599999999998
691683389,0.017209400000000003
2513339137,0.019696
398050747,0.0158067
1485182617,0.017097900000000003
3470045314,0.0165482
2839638938,0.0182148
1449639079,0.016956400000000003
1588455403,0.0178075
3909800428,0.012115899999999999
2339896755,0.0212009
1601256701,0.0158072
1692738821,0.0176208
305889404,0.0140804
2197790747,0.021424
2925308865,0.0159949
4286243589,0.0181704
2720628986,0.0169282
1548973424,0.0190874
229141813,0.013701699999999999
920202637,0.0130315
1642461874,0.0157959
2569246897,0.0196987
1308223071,0.011928200000000002
108371614,0.014027
2397593996,0.022103499999999998
1310195641,0.0143623
3757643654,0.0229724
165822221,0.0134318
4201922860,0.0116516
4095317961,0.0173971
1286847262,0.0166349
2856759160,0.0174678
1606595707,0.0202806
1674325295,0.0195313
1873724175,0.0191661
938291646,0.0163068
810210154,0.0083861
1548851457,0.0174599
2158055022,0.0132611
3893027282,0.0170862
1052644438,0.014725
1253335367,0.0211302
699207532,0.0163226
3302017256,0.0151783
3037919716,0.0202676
3029514464,0.0157066
3842347315,0.0202387
2495180584,0.0153223
1961440757,0.017789799999999998
1332834719,0.0194217
784354243,0.0177512
1988111984,0.0142187
79226556,0.016340200000000003
1097211513,0.0158686
581589913,0.0163635
4085502954,0.014174700000000004
88875015,0.0129125
15240079,0.00947868
1654080915,0.0142757
3231668007,0.017490099999999998
2680960680,0.0126894
2584469464,0.0178384
3963382276,0.0193283
3931920382,0.0165615
114360558,0.013034700000000001
3196344252,0.0178321
2992197197,0.0195924
2133040055,0.0120628
3296835570,0.017817700000000002
24671557,0.016451300000000002
812228771,0.013503799999999998
1997989958,0.0195557
3674810352,0.0169519
2442641835,0.0163099
787674799,0.0220676
2673998819,0.0201073
4072837275,0.018455799999999998
1084312967,0.015594299999999997
3887323528,0.0194747
2935755281,0.0201286
2462993369,0.019596000000000002
486910208,0.0123785
3925211532,0.0168985
2033511738,0.016305899999999998
458318733,0.016931900000000003
4263010173,0.013133700000000002
2291373493,0.0195184
3022401994,0.0129361
2263956615,0.020243900000000002
835735994,0.019172
3401018859,0.012020200000000002
2292846082,0.0144974
1981602317,0.0161326
931314200,0.0131161
617960102,0.0145653
2676316904,0.0201839
627534553,0.0192863
2233875151,0.0178908
3162559647,0.020875499999999998
3178651289,0.0186177
3892682347,0.019398099999999998
134112907,0.0152536
1726793855,0.0209476
313498653,0.0167678
1288731077,0.016299
1520437794,0.0184005
522387493,0.017465900000000003
4036294423,0.016969799999999997
2352614780,0.0170462
3510051921,0.013291399999999998
668713591,0.0170505
4170741430,0.0148607
1589146745,0.0189007
2883399043,0.0168055
1108265827,0.015227700000000004
724635079,0.016704499999999997
601672112,0.0137594
124214610,0.0116139
1639447482,0.0191074
1060748878,0.0133685
2265984339,0.018691
1836590181,0.0147029
3368069190,0.014818600000000001
588164725,0.0168505
1494367593,0.0206249
1118523344,0.0158462
3432807125,0.0170285
1193082886,0.0141434
61872208,0.0131798
84883425,0.0131778
525547861,0.0170239
2961027211,0.0153266
1572400654,0.014844
1067003927,0.0153893
999480507,0.016493599999999997
2328219245,0.0163389
1183892923,0.0166132
3677782356,0.0232975
2694416247,0.0187431
2907092626,0.0162459
3186450975,0.016763099999999996
1148412493,0.014614
3644044791,0.0170018
152254851,0.0137937
2495799083,0.019077700000000003
1294373917,0.0213143
3135400392,0.014550299999999999
394849729,0.0183661
732088082,0.0121113
1159882239,0.0157083
183197408,0.0154977
3789463679,0.0214095
870599071,0.013380100000000002
2604244278,0.014262100000000003
2981684450,0.0142487
3996552897,0.0211986
1071741022,0.013852799999999998
3154617980,0.0174148
999795785,0.0214886
795266229,0.018731
992011852,0.0117349
3892479781,0.020315
2147212252,0.0155674
15205552,0.0117729
