operands_A,operands_B,opcode,switching_power
1.2483099609829016e+19,6.009160462087497e+18,ALU_XOR,0.486314
1.1155315630551523e+19,4.933559243917085e+17,ALU_SLL,0.291279
1.4614181575557018e+19,4.796218209652377e+18,ALU_SLL,0.546309
1.486810159636751e+19,1.2242168696766216e+19,ALU_SLTU,0.556227
4.501240523256428e+18,1.1839546017225034e+19,ALU_XXX,0.348013
9.799488442506185e+18,8.716058367477302e+17,ALU_XOR,0.5768979999999999
1.2627684346985886e+19,5.602012439430797e+18,ALU_XXX,0.37330399999999997
4.3378962108868326e+18,1.8400562787611693e+19,ALU_SRA,0.480662
1.0773871983591592e+19,1.0063366044980548e+19,ALU_SLTU,0.673561
1.3721944929829714e+19,3.195880797697956e+18,ALU_SRL,0.322612
1.2093761630200072e+19,1.648356806202695e+19,ALU_SLT,0.707338
6.674646937220611e+18,1.315551934412308e+19,ALU_SLTU,0.429317
6.537829264971736e+18,4.384419401989055e+18,ALU_OR,0.427745
1.338712424169248e+18,3.7658367932869714e+18,ALU_SUB,0.324835
1.196924004444609e+19,1.0190776036504654e+19,ALU_SLTU,0.576769
5.291326169490228e+18,1.19727773302109e+19,ALU_COPY_B,0.438369
1.5632718175816106e+19,3.7043833245851433e+18,ALU_SRA,0.77094
7.503222641227773e+18,1.9033890409093425e+18,ALU_SRA,0.33827
1.4063624579219907e+19,5.493878275609648e+18,ALU_OR,0.498246
1.5791199991333876e+19,1.2518838368502657e+19,ALU_XXX,0.384294
1.0017044391613247e+19,8.951293140946267e+18,ALU_ADD,0.319011
1.1704857089599795e+19,1.2448563779359565e+18,ALU_SUB,0.379624
1.216598726921243e+19,1.4638418083048743e+19,ALU_AND,0.436543
1.1323672703742198e+19,1.649360695738668e+19,ALU_AND,0.280332
1.524950984656992e+19,7.138991571834745e+18,ALU_SLT,0.7394149999999999
9.486220597177997e+18,8.552250991475533e+18,ALU_SRL,0.308093
1.4198821410721329e+18,1.212696005498827e+19,ALU_ADD,0.41530900000000004
1.5526630954142948e+18,1.0715380639713046e+18,ALU_XXX,0.468224
1.3801645300823773e+19,1.2212183151527203e+19,ALU_SLTU,0.596284
1.5893844174636345e+19,2.353135378838357e+18,ALU_XOR,0.318417
1.3639659657773844e+18,1.8054806473553703e+19,ALU_SRL,0.533099
5.763566341421439e+18,1.2580318221019023e+19,ALU_OR,0.314044
6.653480222989984e+18,1.4859247132873505e+19,ALU_COPY_B,0.49017
2.0394743248034e+16,3.0175978040839194e+18,ALU_SRA,0.381374
1.642935254631998e+19,1.1110892357703875e+19,ALU_XOR,0.409513
1.4374602258596266e+19,4.1613941988047473e+18,ALU_ADD,0.371287
1.1964378378301469e+19,1.7571483228706351e+19,ALU_XXX,0.494313
3.4279873552473754e+18,4.016566663372156e+18,ALU_ADD,0.35041500000000003
1.7845851847542166e+19,1.741029258152195e+19,ALU_XOR,0.33072199999999996
1.516521993414783e+19,1.459801891388514e+19,ALU_ADD,0.363911
3.676678059573988e+18,6.975179876687455e+18,ALU_OR,0.340526
1.7147577746150777e+19,1.5016838867341165e+19,ALU_SRL,0.53487
1.6571089144271802e+19,1.1045796695328756e+19,ALU_OR,0.399302
1.029406902521228e+19,5.070101668208471e+18,ALU_SLTU,0.5546949999999999
1.2185552297476223e+19,2.3629366748787973e+18,ALU_SLL,0.61141
2.4362960432423173e+18,1.249497370828234e+19,ALU_SLL,0.667941
1.54791654264756e+19,5.102960933063656e+18,ALU_SLT,0.37309699999999996
6.665270345991975e+18,1.1261029156627794e+19,ALU_ADD,0.65822
1.1234680484097876e+19,1.572702436169318e+19,ALU_COPY_B,0.338491
6.363333685237802e+18,1.4521823177362e+19,ALU_SRL,0.543441
2.538686525120632e+18,9.35313560952349e+18,ALU_SLTU,0.397719
2.9207045208640404e+18,4.759296857889053e+18,ALU_SRA,0.677682
2.9171860046455183e+18,9.819984939262065e+17,ALU_SRL,0.26461799999999996
5.706970821160824e+18,1.7701940836810695e+19,ALU_OR,0.715069
1.3989943730100142e+19,1.6385672219125344e+19,ALU_XXX,0.42376099999999994
3.681147377422936e+18,2.35830356550444e+18,ALU_XXX,0.281709
1.68895306104428e+19,3.444029352362823e+18,ALU_OR,0.422454
1.4919312675095155e+19,6.463600189131165e+18,ALU_SRA,0.183294
7.653406870817846e+18,1.3782568533123013e+18,ALU_SRA,0.506071
1.7531937809543969e+19,6.545509356733933e+17,ALU_AND,0.72016
1.6193506364621482e+19,9.181399943670928e+18,ALU_SLL,0.60329
3.587791679565676e+18,9.102060651057176e+18,ALU_SRA,0.365792
7.337944068075873e+18,1.7442545830033874e+18,ALU_SRA,0.245394
6.735960628332831e+17,7.697847523589334e+18,ALU_SLTU,0.621718
1.5092854501632967e+19,5.380111900715421e+18,ALU_XOR,0.33542
1.9135436044738289e+18,9.416296143038806e+18,ALU_XOR,0.28859
1.584676611050573e+19,1.7563228415842634e+17,ALU_SLT,0.368171
1.2781812145236353e+19,4.922838210831819e+18,ALU_SLT,0.404504
6.670848461290121e+18,1.5893089331656016e+19,ALU_SLTU,0.621297
1.820218360095403e+19,1.941044163550472e+17,ALU_SUB,0.571134
1.2245944919055802e+19,1.2544078055516142e+19,ALU_OR,0.582354
1.663776457558381e+17,7.524642620563475e+18,ALU_ADD,0.365517
5.659275370899317e+18,4.4536826180944256e+18,ALU_SLT,0.31845
3.376270875784504e+17,2.64382431092709e+18,ALU_COPY_B,0.337509
1.320502684556035e+18,4.255444578223757e+18,ALU_XXX,0.49169799999999997
1.5765406473803485e+19,9.77845982460726e+18,ALU_OR,0.63041
1.79857514289911e+19,1.1449031904999838e+19,ALU_AND,0.6167229999999999
1.0270628809225007e+19,3.347918833289272e+18,ALU_SLTU,0.35038800000000003
3.9418048310766735e+18,1.3493268468079229e+19,ALU_AND,0.49839399999999995
1.2419519815068365e+19,3.360955589949185e+18,ALU_SLT,0.331496
6.350853339687905e+18,9.850338686598212e+18,ALU_XOR,0.669906
1.3538379673171474e+19,1.0072258002900318e+19,ALU_SUB,0.313481
2.1267444987076808e+18,3.463096635861004e+18,ALU_SRA,0.565662
8.053244829907826e+18,1.4939335218147879e+19,ALU_SLL,0.424091
1.645612574748167e+19,1.153503650919776e+19,ALU_SUB,0.5251600000000001
1.0663956122913982e+19,6.149105215805708e+18,ALU_SRA,0.441814
8.155060816281763e+18,8.357226822161123e+18,ALU_SLT,0.496249
1.2916281503093043e+19,1.4538759772091644e+19,ALU_SUB,0.5506340000000001
